,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,MC_price,CRR_price
185,10101,2025-12-17,AAPL260102C00290000,2026-01-02,290.0,274.609985,0.04623,0.04,0.178963289,0.08854608396640623,0.37,0.39,5343.0,1959.0,0.011453916033593775,0.020000000000000018,0.38,0.052631578947229966,0.0151820047219909,9.472172905943053,-19.289621445285512,1.104339770085525,0.42565631192140785,0.4485504552662847,0.42574200053290845
130,10101,2025-12-17,AAPL251226C00280000,2025-12-26,280.0,274.609985,0.02705,0.04,0.178108805,0.27029924378301384,1.22,1.25,16819.0,10849.0,0.020299243783013843,0.030000000000000027,1.2349999999999999,0.024291497975688855,0.04112454082864249,14.941230648064034,-52.10614211067576,1.9722194028937214,1.310966075244778,1.3853125023748116,1.3115213639244865
128,10101,2025-12-17,AAPL251226C00275000,2025-12-26,275.0,274.609985,0.02705,0.04,0.189644334,0.5019115195609118,3.1,3.25,2535.0,6521.0,0.0019115195609118452,0.1499999999999999,3.175,0.04724409448817407,0.046576330225136194,18.017936721464114,-68.53911078098105,3.6370785456858634,3.371363234584919,3.30000527688722,3.371885949653502
125,10101,2025-12-17,AAPL251226C00267500,2025-12-26,267.5,274.609985,0.02705,0.04,0.229133685,0.7714358436461524,8.3,8.6,306.0,270.0,0.021435843646152364,0.29999999999999893,8.45,0.035502958579877335,0.029237366360070866,13.665549751943756,-66.00075571928802,5.4925389024971585,8.797411945905282,8.857202016215348,8.796549804545988
118,10101,2025-12-17,AAPL251226C00245000,2025-12-26,245.0,274.609985,0.02705,0.04,0.569096106,0.8992384433785037,29.45,30.95,124.0,12.0,0.000761556621496351,1.5,30.2,0.04966887417218379,0.006864909400681698,7.969303053247347,-92.4634852796157,5.837190231127906,31.152223505772326,31.351593646682478,31.152319237264873
338,10101,2025-12-17,AAPL260123C00300000,2026-01-23,300.0,274.609985,0.10377,0.04,0.193977787,0.09382871996367737,0.6,0.64,707.0,182.0,0.0061712800363226405,0.040000000000000036,0.62,0.06451612903215406,0.009760430665397512,14.815811594821179,-14.848978671130759,2.597733595426559,0.7336965947328302,0.7008494375868064,0.7337892377897166
223,10101,2025-12-17,AAPL260109C00285000,2026-01-09,285.0,274.609985,0.06541,0.04,0.187141918,0.24280180226761022,1.65,1.69,1652.0,521.0,0.007198197732389777,0.040000000000000036,1.67,0.023952095808368913,0.023801823095537862,21.971418541945393,-34.024081500154615,4.240711684122512,1.8424859521653616,1.8338908466846942,1.8428228439076622
221,10101,2025-12-17,AAPL260109C00275000,2026-01-09,275.0,274.609985,0.06541,0.04,0.202522623,0.5195450161699315,5.4,5.5,2434.0,1247.0,0.01954501616993154,0.09999999999999964,5.45,0.018348623853207575,0.028014090049619373,27.98509992001794,-48.797210832134404,8.950441004258728,5.836189971380975,5.754284462854935,5.837551110375632
219,10101,2025-12-17,AAPL260109C00265000,2026-01-09,265.0,274.609985,0.06541,0.04,0.233161965,0.7489062008210474,12.25,12.35,292.0,73.0,0.0010937991789525814,0.09999999999999964,12.3,0.008130081300812319,0.019450429314496913,22.369882159825448,-47.58301519642583,12.612554584913507,12.834421563094821,12.827261172772635,12.83555530211578
213,10101,2025-12-17,AAPL260109C00235000,2026-01-09,235.0,274.609985,0.06541,0.04,0.509526389,0.8998237885389673,39.5,41.5,247.0,28.0,0.0001762114610327492,2.0,40.5,0.04938271604938149,0.004910454000758276,12.341419837412515,-56.27148115562678,13.414450998616612,42.01841780920006,41.826539619298885,42.017277340847315
413,10101,2025-12-17,AAPL260220C00315000,2026-02-20,315.0,274.609985,0.18048,0.04,0.225227474,0.09495813995014729,0.92,0.96,2112.0,187.0,0.005041860049852714,0.039999999999999925,0.94,0.042553191489316355,0.006430463011079664,19.711757227893486,-13.297585994058569,4.503341898446102,1.1245349938678189,1.0684070661623355,1.124543221875141
409,10101,2025-12-17,AAPL260220C00295000,2026-02-20,295.0,274.609985,0.18048,0.04,0.228279202,0.2690752428530838,3.6,3.7,8629.0,591.0,0.019075242853083818,0.10000000000000009,3.6500000000000004,0.027397260273965118,0.01239421673908166,38.507663076402075,-27.141889179552397,12.582971503566286,4.171387207519771,4.223162559645069,4.172557146798139
406,10101,2025-12-17,AAPL260220C00280000,2026-02-20,280.0,274.609985,0.18048,0.04,0.243324217,0.4734837343399915,8.8,8.95,9686.0,681.0,0.026516265660008476,0.14999999999999858,8.875,0.01690140845070216,0.014022748781751736,46.43871772037292,-36.1141885086726,21.7014107037087,9.780665704678029,9.78754969909295,9.778358644913846
401,10101,2025-12-17,AAPL260220C00255000,2026-02-20,255.0,274.609985,0.18048,0.04,0.293891339,0.762278173698143,25.1,25.25,36465.0,270.0,0.012278173698142991,0.14999999999999858,25.175,0.005958291956305566,0.009019871658690372,36.078533547621525,-36.68634717472925,32.989191784042006,26.543277158945187,26.98833781560512,26.545356548367014
395,10101,2025-12-17,AAPL260220C00225000,2026-02-20,225.0,274.609985,0.18048,0.04,0.398931792,0.903715185757729,51.55,52.1,2840.0,30.0,0.0037151857577290004,0.5500000000000043,51.825,0.01061263868789182,0.003667738878209596,19.914013070094974,-29.796028298377095,35.13551818272233,53.49095723205548,52.713883894603136,53.491977822577866
465,10101,2025-12-17,AAPL260320C00320000,2026-03-20,320.0,274.609985,0.25708,0.04,0.228828513,0.1206382677535382,1.48,1.51,10245.0,120.0,0.020638267753538192,0.030000000000000027,1.495,0.020066889632093615,0.006302076373867571,27.957268699924303,-13.695496988497704,8.053206343260724,1.8031634295060037,1.8351309312425035,1.8021921541594308
463,10101,2025-12-17,AAPL260320C00300000,2026-03-20,300.0,274.609985,0.25708,0.04,0.233802828,0.274269089341321,4.4,4.5,15233.0,1484.0,0.024269089341320993,0.09999999999999964,4.45,0.02247191011235442,0.010236474016759459,46.39819528015025,-23.904266691747495,18.032356145418905,5.174430941178414,5.341914697636382,5.174643487201192
461,10101,2025-12-17,AAPL260320C00280000,2026-03-20,280.0,274.609985,0.25708,0.04,0.252754055,0.4970644940085005,11.5,11.65,29342.0,678.0,0.0029355059914994985,0.15000000000000036,11.575,0.012958963282936277,0.011335735686589085,55.54548751810659,-32.25065420473192,31.783114484395462,12.867800184119389,13.090746428627238,12.8709345119602
458,10101,2025-12-17,AAPL260320C00250000,2026-03-20,250.0,274.609985,0.25708,0.04,0.31357498,0.7687431298257656,31.4,31.75,13419.0,50.0,0.018743129825765648,0.3500000000000014,31.575,0.011084718923198428,0.006975924721062371,42.40764236319696,-32.966059963737905,45.64817231336048,33.540291538399174,33.62356617726989,33.54256236520595
454,10101,2025-12-17,AAPL260320C00210000,2026-03-20,210.0,274.609985,0.25708,0.04,0.46845014,0.9017209018666541,67.15,68.3,4456.0,3.0,0.0017209018666540787,1.1499999999999915,67.725,0.016980435585086374,0.002656734887132403,24.127511535250033,-29.083027569622768,45.63491623322183,70.10883985085971,69.40917484995748,70.10770921387964
657,10101,2025-12-17,AAPL260618C00360000,2026-06-18,360.0,274.609985,0.50365,0.04,0.246345427,0.08914606117231999,1.39,1.44,2204.0,24.0,0.010853938827680015,0.050000000000000044,1.415,0.03533568904591145,0.0033585655109326785,31.4238805864969,-8.590321151109217,11.398765180434081,1.8478551709336593,1.7974877135899727,1.8479762657769967
653,10101,2025-12-17,AAPL260618C00320000,2026-06-18,320.0,274.609985,0.50365,0.04,0.250800949,0.2555116741028326,5.55,5.7,11833.0,34.0,0.005511674102832598,0.15000000000000036,5.625,0.026666666666661988,0.006576546911418625,62.645313212380465,-18.129064019749592,31.873777287831334,6.880210293597884,6.817436636340946,6.882630014021914
649,10101,2025-12-17,AAPL260618C00285000,2026-06-18,285.0,274.609985,0.50365,0.04,0.274207697,0.5039843986735622,16.7,16.9,4306.0,45.0,0.003984398673562151,0.1999999999999993,16.799999999999997,0.011904761904761156,0.00746496928695235,77.74440670182688,-25.931718724348585,60.03631943371274,19.19656007997395,18.6897085382324,19.19175082941556
641,10101,2025-12-17,AAPL260618C00245000,2026-06-18,245.0,274.609985,0.50365,0.04,0.33472345,0.7529743310345189,41.8,42.15,3315.0,2.0,0.00297433103451894,0.3500000000000014,41.974999999999994,0.008338296605121932,0.004840443241824414,61.536495322128445,-26.905776364771633,81.30600646378471,45.34079192115078,46.003531799227495,45.34528150988348
631,10101,2025-12-17,AAPL260618C00195000,2026-06-18,195.0,274.609985,0.50365,0.04,0.459783234,0.8986828509263408,84.8,85.3,2751.0,3.0,0.0013171490736592073,0.5,85.05,0.005878894767783588,0.00197734709964095,34.53007558531876,-22.093790839956892,79.73407112757845,88.47494093520868,86.18099405348381,88.47735455630581
