,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,MC_price,CRR_price
111,10101,2025-12-02,AAPL251212C00300000,2025-12-12,300.0,286.294495,0.02979,0.04,0.191170198,0.08620787053291101,0.34,0.35,5449.0,3919.0,0.013792129467088993,0.009999999999999953,0.345,0.028985507246292664,0.016645164517519555,7.769709471292709,-25.902384714706532,0.7240897909089066,0.36934889034693086,0.0,0.3694294116912733
46,10101,2025-12-02,AAPL251205C00290000,2025-12-05,290.0,286.294495,0.01062,0.04,0.177742598,0.2514764564337536,0.77,0.78,19128.0,59149.0,0.0014764564337536035,0.010000000000000009,0.775,0.012903225806434975,0.06079182133534817,9.405614836802382,-81.55801804121471,0.756423578934988,0.7812483553357197,0.0,0.7810566133878288
106,10101,2025-12-02,AAPL251212C00287500,2025-12-12,287.5,286.294495,0.02979,0.04,0.204964005,0.4731348591121171,3.4,3.5,6804.0,21304.0,0.026865140887882888,0.10000000000000009,3.45,0.028985507246368433,0.03930045974376703,19.66852206212159,-72.935621572273,3.9270659874090845,3.6294643149899173,0.0,3.6293124894350304
43,10101,2025-12-02,AAPL251205C00282500,2025-12-05,282.5,286.294495,0.01062,0.04,0.215828154,0.7357168127824019,4.8,4.9,29154.0,25529.0,0.014283187217598137,0.10000000000000053,4.85,0.02061855670102679,0.05137046292184582,9.650994916647836,-106.29459347759675,2.184259354258355,4.9485921812892855,0.0,4.949052956664538
95,10101,2025-12-02,AAPL251212C00260000,2025-12-12,260.0,286.294495,0.02979,0.04,0.436529072,0.9085789639118823,26.85,27.3,593.0,427.0,0.008578963911882287,0.4499999999999993,27.075000000000003,0.016620498614957808,0.007615442114657134,8.117172799045223,-68.77569404225144,6.928424272581093,27.550023734909757,0.0,27.549853524582023
111,10101,2025-12-02,AAPL251212C00300000,2025-12-12,300.0,286.294495,0.02979,0.04,0.191170198,0.08620787053291101,0.34,0.35,5449.0,3919.0,0.013792129467088993,0.009999999999999953,0.345,0.028985507246292664,0.016645164517519555,7.769709471292709,-25.902384714706532,0.7240897909089066,0.36934889034693086,0.0,0.3694294116912733
46,10101,2025-12-02,AAPL251205C00290000,2025-12-05,290.0,286.294495,0.01062,0.04,0.177742598,0.2514764564337536,0.77,0.78,19128.0,59149.0,0.0014764564337536035,0.010000000000000009,0.775,0.012903225806434975,0.06079182133534817,9.405614836802382,-81.55801804121471,0.756423578934988,0.7812483553357197,0.0,0.7810566133878288
195,10101,2025-12-02,AAPL251219C00287500,2025-12-19,287.5,286.294495,0.04897,0.04,0.217537122,0.4910157460432086,4.85,4.95,2175.0,4129.0,0.008984253956791421,0.10000000000000053,4.9,0.020408163265302065,0.028939328654297377,25.26841081854804,-61.53978579631844,6.62986567388529,5.188376120738752,0.0,5.1895825594221385
43,10101,2025-12-02,AAPL251205C00282500,2025-12-05,282.5,286.294495,0.01062,0.04,0.215828154,0.7357168127824019,4.8,4.9,29154.0,25529.0,0.014283187217598137,0.10000000000000053,4.85,0.02061855670102679,0.05137046292184582,9.650994916647836,-106.29459347759675,2.184259354258355,4.9485921812892855,0.0,4.949052956664538
184,10101,2025-12-02,AAPL251219C00260000,2025-12-19,260.0,286.294495,0.04897,0.04,0.359137268,0.8991219770647714,27.4,27.5,22086.0,803.0,0.0008780229352286506,0.10000000000000142,27.45,0.003642987249544546,0.007762253288824069,11.189337750161258,-50.209758864202605,11.237944910472775,27.92889920567137,0.0,27.92851856716794
